alamat,rata_rata_umur,total_kontak,jumlah_fasyankes_unik,latitude,longitude,dirujuk_pct,laki-laki_pct,perempuan_pct,kontak_serumah_pct,batuk_pct,sesak_nafas_pct,keringat_malam_pct,demam_meriang_pct,diabetes_mellitus_pct,lansia_pct,ibu_hamil_pct,perokok_pct,berobat_tidak_tuntas_pct
"Bajeng Barat, Kabupaten Gowa",34.39376718606783,5455.0,1.0,-5.2902067,119.390549,12.428964252978918,48.83593033913841,51.1640696608616,19.358386801099908,12.117323556370302,5.646196150320806,0.384967919340055,0.054995417048579284,0.12832263978001834,11.439046746104491,0.0,2.1448212648945923,0.01833180568285976
"Bajeng, Kabupaten Gowa",33.42479508196721,9760.0,2.0,-5.292824700000001,119.4374637,11.823770491803279,48.125,51.87500000000001,18.360655737704917,11.834016393442623,5.030737704918033,0.5020491803278688,0.14344262295081966,0.24590163934426232,9.610655737704917,0.08196721311475409,5.870901639344262,0.020491803278688523
"Biringbulu, Kabupaten Gowa",39.5,32.0,1.0,-5.482483999999999,119.7364196,37.5,43.75,56.25,21.875,37.5,0.0,0.0,0.0,0.0,6.25,0.0,28.125,0.0
"Biringkanaya, Kota Makassar",31.61498289213038,5553.0,6.0,-5.113451700000001,119.5137952,2.5031514496668468,49.46875562758869,50.53124437241131,24.99549792904736,2.737259139204034,0.48622366288492713,0.07203313524221142,0.45020709526382136,0.10804970286331712,6.518998739420133,0.12605798667387,6.0507833603457595,0.018008283810552854
"Bontoala, Kota Makassar",34.5742766407904,5668.0,2.0,-5.130839,119.4208345,0.776287932251235,48.90613973182781,51.0938602681722,20.94213126323218,0.8292166549047284,0.1587861679604799,0.12350035285815103,0.24700070571630206,0.1058574453069866,9.174311926605505,0.017642907551164433,10.956245589273113,0.035285815102328866
"Bontomarannu, Kabupaten Gowa",32.72982708933718,1388.0,1.0,-5.2324906,119.5096652,14.697406340057636,47.40634005763689,52.59365994236311,21.32564841498559,14.769452449567725,0.8645533141210375,0.2881844380403458,0.21613832853025938,0.0,8.429394812680115,0.0,1.8731988472622478,0.0
"Bontonompo Selatan, Kabupaten Gowa",33.25265776973536,4421.0,1.0,-5.398394700000001,119.3890994,7.916760913820403,47.77199728568197,52.22800271431802,16.760913820402624,7.848902963130514,1.3797783306944131,0.6559601900022619,0.49762497172585385,0.6107215562090025,10.992988011762044,0.4297670210359647,11.897760687627233,0.13571590137977835
"Bontonompo, Kabupaten Gowa",36.250558347292014,7164.0,1.0,-5.3455219,119.4454793,16.457286432160803,46.55220547180346,53.44779452819653,20.714684533780012,16.429369067560025,11.2786152987158,1.1166945840312674,0.9073143495254048,0.530429927414852,13.42825237297599,0.06979341150195421,4.941373534338359,0.08375209380234507
"Makassar, Kota Makassar",32.86341175206789,18618.0,4.0,-5.1615828,119.4359281,3.7007197335911486,49.72070039746482,50.279299602535175,19.174991943280695,3.96927704372113,0.4780320120313675,1.4770652057148996,2.3901600601568376,0.11816521645719197,6.971747770974327,0.010742292405199269,5.3818884950048345,0.03759802341819744
"Mamajang, Kota Makassar",36.74144538735286,7306.0,6.0,-5.164346099999999,119.4193834,6.775253216534355,47.098275390090336,52.901724609909664,11.196277032575965,6.898439638653161,1.4645496851902546,1.2044894607172187,1.3550506433068712,0.10949904188338351,12.031207226936765,0.013687380235422939,13.618943334245825,0.013687380235422939
"Manggala, Kota Makassar",33.05888776881721,11904.0,6.0,-5.1670953,119.4791098,4.637096774193548,47.70665322580645,52.29334677419355,25.042002688172044,5.065524193548387,0.6636424731182796,0.9072580645161291,0.991263440860215,0.19321236559139784,7.602486559139784,0.12600806451612903,3.1165994623655915,0.03360215053763441
"Manuju, Kabupaten Gowa",34.10610328638498,1065.0,1.0,-5.2858206,119.6126125,1.3145539906103285,44.97652582159624,55.02347417840375,9.389671361502346,2.15962441314554,1.5962441314553992,0.09389671361502347,0.8450704225352111,0.4694835680751174,9.859154929577464,0.0,26.291079812206576,0.0
"Mariso, Kota Makassar",28.0,687.0,3.0,-5.1590928,119.4092257,6.841339155749636,49.053857350800584,50.94614264919942,39.01018922852984,3.6390101892285296,1.1644832605531297,0.5822416302765648,0.5822416302765648,0.2911208151382824,3.3478893740902476,0.0,9.024745269286754,0.1455604075691412
"Pallangga, Kabupaten Gowa",32.90324121052946,16753.0,2.0,-5.2635169,119.4863316,9.240136095027756,48.88079746911001,51.119202530889986,20.748522652659226,9.186414373545036,3.4978809765415146,1.46242464036292,2.3279412642511788,2.620426192323763,9.168507133050797,0.29845400823733065,12.47537754432042,0.05372172148271951
"Panakkukang, Kota Makassar",32.86540232001473,5431.0,10.0,-5.1608223,119.449434,3.7562143251703186,47.46823789357393,52.53176210642607,21.57981955440987,4.621616645185049,2.448904437488492,1.2152458110845148,1.325722703001289,0.46032038298655864,7.714969618854722,0.16571533787516113,13.441355183207513,0.07365126127784938
"Parangloe, Kabupaten Gowa",31.811965811965813,117.0,1.0,-5.2441692,119.6509478,9.401709401709402,49.572649572649574,50.427350427350426,35.04273504273504,9.401709401709402,0.0,0.0,0.0,0.0,6.837606837606838,0.0,10.256410256410255,0.0
"Parigi, Kabupaten Gowa",39.40677966101695,767.0,1.0,-5.3059908,119.8064051,7.170795306388526,47.196870925684486,52.803129074315514,18.904823989569753,7.040417209908735,0.9126466753585397,0.0,0.0,0.1303780964797914,17.470664928292045,0.2607561929595828,1.955671447196871,0.0
"Rappocini, Kota Makassar",33.79308063143964,10579.0,6.0,-5.1716212,119.4457009,1.7298421400888553,47.43359485773703,52.56640514226297,12.193969184232914,2.30645618678514,0.5009925323754608,0.1417903393515455,0.16069571793175158,0.22686454296247283,8.828811796956234,0.0,11.56063900179601,0.047263446450515174
"Somba Opu, Kabupaten Gowa",31.771836244832645,7499.0,2.0,-5.2092149,119.455063,6.254167222296306,49.326576876916924,50.67342312308307,22.189625283371118,6.5875450060008,0.826776903587145,1.2401653553807175,2.21362848379784,0.4133884517935725,7.69435924789972,0.0933457794372583,25.4967328977197,0.20002667022269638
"Tallo, Kota Makassar",34.515643732838306,25857.0,4.0,-5.1250455,119.4295039,4.9541710175194345,49.20137680318676,50.79862319681324,16.030475306493404,5.677379433035542,1.3265266658931816,1.7519433809026568,1.6591251885369533,0.5337046061027961,5.437599102757474,0.4486212631009011,17.40341106856944,0.1198901651390339
"Tamalanrea, Kota Makassar",31.603846153846156,520.0,6.0,-5.1317461,119.4982452,10.576923076923077,48.07692307692308,51.92307692307693,38.07692307692307,11.346153846153847,3.076923076923077,0.576923076923077,1.153846153846154,0.0,7.884615384615384,0.0,5.769230769230769,0.0
"Tamalate, Kota Makassar",33.38109756097561,16400.0,9.0,-5.1851712,119.4236581,8.49390243902439,48.4390243902439,51.5609756097561,17.646341463414632,9.201219512195122,2.073170731707317,0.896341463414634,1.4512195121951221,0.8109756097560976,9.719512195121952,0.2621951219512195,12.073170731707316,0.07317073170731707
"Ujung Pandang, Kota Makassar",33.50666666666667,225.0,2.0,-5.1615828,119.4359281,6.222222222222222,45.77777777777778,54.22222222222223,48.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,4.0,0.0
"Ujung Tanah, Kota Makassar",31.862595419847327,131.0,2.0,-5.0490848,119.3278254,0.0,52.67175572519084,47.32824427480916,61.832061068702295,0.7633587786259541,0.0,0.0,0.0,0.0,3.816793893129771,0.0,5.343511450381679,0.0
"Wajo, Kota Makassar",32.76694772344013,2965.0,4.0,-5.1255864,119.4106768,0.4721753794266442,46.306913996627316,53.693086003372684,13.15345699831366,1.821247892074199,0.2360876897133221,0.0,0.1011804384485666,0.30354131534569984,6.408094435075886,0.4047217537942664,11.264755480607084,0.0
